"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"A+ UNLIMITED POTENTIAL","101871","Spring 2024","8","25","1741","16","64","9","36","1","4","1","4","","","","","","","","","",""
"A+ UNLIMITED POTENTIAL","101871","Spring 2023","8","30","1779","11","37","19","63","3","10","0","0","","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2025","3","17","1470","4","24","13","76","8","47","2","12","0","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2025","5","20","1659","2","10","18","90","10","50","2","10","0","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2025","8","22","1895","2","9","20","91","9","41","5","23","","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2024","3","21","1514","2","10","19","90","12","57","5","24","0","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2024","5","18","1653","2","11","16","89","8","44","2","11","0","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2024","8","23","1908","4","17","19","83","12","52","6","26","","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2023","3","22","1435","4","18","18","82","6","27","1","5","0","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2023","5","15","1731","2","13","13","87","10","67","6","40","0","","","","","","","","",""
"ABBOTT ISD","109901","Spring 2023","8","20","1975","1","5","19","95","16","80","8","40","","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2025","3","59","1449","16","27","43","73","27","46","8","14","0","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2025","5","67","1598","24","36","43","64","23","34","8","12","0","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2025","8","33","1895","7","21","26","79","21","64","8","24","","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2024","3","66","1443","19","29","47","71","27","41","3","5","0","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2024","5","58","1608","18","31","40","69","23","40","8","14","0","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2024","8","44","1833","11","25","33","75","16","36","4","9","","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2023","3","62","1421","21","34","41","66","25","40","4","6","0","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2023","5","53","1672","7","13","46","87","34","64","12","23","0","","","","","","","","",""
"ABERNATHY ISD","095901","Spring 2023","8","48","1860","10","21","38","79","25","52","4","8","","","","","","","","","",""
"ABILENE ISD","221901","Spring 2025","3","1076","1423","426","40","650","60","370","34","142","13","18","1317","11","61","7","39","2","11","0","0"
"ABILENE ISD","221901","Spring 2025","5","975","1597","345","35","630","65","345","35","143","15","2","","","","","","","","",""
"ABILENE ISD","221901","Spring 2025","8","1108","1809","464","42","644","58","354","32","100","9","","","","","","","","","",""
"ABILENE ISD","221901","Spring 2024","3","1100","1420","452","41","648","59","355","32","122","11","17","1305","13","76","4","24","0","0","0","0"
"ABILENE ISD","221901","Spring 2024","5","1007","1588","351","35","656","65","349","35","102","10","8","1472","6","75","2","25","0","0","0","0"
"ABILENE ISD","221901","Spring 2024","8","735","1782","330","45","405","55","157","21","18","2","","","","","","","","","",""
"ABILENE ISD","221901","Spring 2023","3","1017","1427","356","35","661","65","355","35","144","14","5","1280","4","80","1","20","0","0","0","0"
"ABILENE ISD","221901","Spring 2023","5","1057","1598","298","28","759","72","391","37","127","12","19","1548","7","37","12","63","3","16","1","5"
"ABILENE ISD","221901","Spring 2023","8","724","1780","301","42","423","58","146","20","20","3","","","","","","","","","",""
"ACADEMY FOR ACADEMIC EXCELLENCE","057814","Spring 2025","8","33","1662","30","91","3","9","0","0","0","0","","","","","","","","","",""
"ACADEMY FOR ACADEMIC EXCELLENCE","057814","Spring 2024","5","1","","","","","","","","","","0","","","","","","","","",""
"ACADEMY FOR ACADEMIC EXCELLENCE","057814","Spring 2024","8","37","1699","31","84","6","16","1","3","0","0","","","","","","","","","",""
"ACADEMY FOR ACADEMIC EXCELLENCE","057814","Spring 2023","8","28","1685","26","93","2","7","1","4","0","0","","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2025","3","152","1502","17","11","135","89","89","59","29","19","0","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2025","5","147","1667","27","18","120","82","70","48","38","26","0","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2025","8","131","1886","22","17","109","83","71","54","25","19","","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2024","3","139","1455","31","22","108","78","58","42","16","12","0","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2024","5","150","1685","17","11","133","89","99","66","38","25","0","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2024","8","112","1868","25","22","87","78","58","52","17","15","","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2023","3","137","1433","40","29","97","71","51","37","21","15","0","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2023","5","129","1658","16","12","113","88","71","55","22","17","0","","","","","","","","",""
"ACADEMY ISD","014901","Spring 2023","8","136","1908","25","18","111","82","76","56","38","28","","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2025","3","94","1414","36","38","58","62","25","27","11","12","0","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2025","5","59","1603","18","31","41","69","19","32","8","14","0","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2025","8","35","1844","11","31","24","69","17","49","6","17","","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2024","3","94","1473","13","14","81","86","43","46","11","12","0","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2024","5","80","1559","34","43","46","58","25","31","5","6","0","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2024","8","35","1797","11","31","24","69","11","31","0","0","","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2023","3","83","1422","24","29","59","71","24","29","11","13","0","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2023","5","72","1589","26","36","46","64","24","33","9","13","0","","","","","","","","",""
"ACADEMY OF ACCELERATED LEARNING INC","101810","Spring 2023","8","37","1788","13","35","24","65","8","22","3","8","","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2025","3","19","1317","13","68","6","32","1","5","0","0","0","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2025","5","16","1424","16","100","0","0","0","0","0","0","0","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2025","8","21","1715","17","81","4","19","0","0","0","0","","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2024","3","27","1311","21","78","6","22","3","11","0","0","0","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2024","5","21","1473","15","71","6","29","1","5","0","0","0","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2024","8","31","1712","26","84","5","16","2","6","0","0","","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2023","3","17","1292","15","88","2","12","1","6","0","0","0","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2023","5","20","1483","10","50","10","50","2","10","0","0","1","","","","","","","","",""
"ACADEMY OF DALLAS","057810","Spring 2023","8","25","1739","19","76","6","24","4","16","0","0","","","","","","","","","",""
"ACADEMY OF VISUAL AND PERFORMING ARTS","220821","Spring 2025","8","20","1734","14","70","6","30","2","10","0","0","","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2025","3","15","1444","6","40","9","60","6","40","2","13","0","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2025","5","20","1645","3","15","17","85","7","35","4","20","0","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2025","8","10","1988","1","10","9","90","9","90","4","40","","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2024","3","20","1381","11","55","9","45","4","20","2","10","0","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2024","5","16","1579","4","25","12","75","5","31","0","0","0","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2024","8","9","1929","1","11","8","89","6","67","2","22","","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2023","3","18","1407","6","33","12","67","3","17","1","6","0","","","","","","","","",""
"ACCELERATED INTERMEDIATE ACADEMY","101849","Spring 2023","5","12","1608","3","25","9","75","6","50","1","8","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2025","3","10","1327","6","60","4","40","1","10","0","0","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2025","5","11","1538","5","45","6","55","1","9","0","0","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2025","8","10","1774","5","50","5","50","2","20","0","0","","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2024","3","7","1465","1","14","6","86","3","43","1","14","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2024","5","11","1607","3","27","8","73","4","36","1","9","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2024","8","12","1890","2","17","10","83","6","50","4","33","","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2023","3","6","1457","2","33","4","67","3","50","1","17","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2023","5","7","1632","0","0","7","100","3","43","0","0","0","","","","","","","","",""
"ADRIAN ISD","180903","Spring 2023","8","15","1799","4","27","11","73","5","33","0","0","","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2025","3","84","1296","65","77","19","23","7","8","1","1","0","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2025","5","75","1503","46","61","29","39","14","19","2","3","2","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2025","8","87","1750","61","70","26","30","17","20","4","5","","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2024","3","72","1333","50","69","22","31","9","13","0","0","1","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2024","5","84","1540","44","52","40","48","20","24","5","6","0","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2024","8","85","1790","39","46","46","54","17","20","5","6","","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2023","3","74","1347","47","64","27","36","12","16","1","1","0","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2023","5","58","1503","36","62","22","38","9","16","1","2","0","","","","","","","","",""
"ADVANTAGE ACADEMY","057806","Spring 2023","8","94","1774","49","52","45","48","18","19","5","5","","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2025","3","27","1418","8","30","19","70","7","26","1","4","0","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2025","5","34","1580","12","35","22","65","6","18","4","12","0","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2025","8","23","1767","12","52","11","48","3","13","1","4","","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2024","3","31","1407","11","35","20","65","8","26","2","6","0","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2024","5","27","1641","7","26","20","74","16","59","5","19","0","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2024","8","24","1763","13","54","11","46","3","13","0","0","","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2023","3","33","1388","13","39","20","61","9","27","2","6","1","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2023","5","22","1550","9","41","13","59","5","23","0","0","0","","","","","","","","",""
"AGUA DULCE ISD","178901","Spring 2023","8","19","1822","2","11","17","89","8","42","0","0","","","","","","","","","",""
"ALAMO HEIGHTS ISD","015901","Spring 2025","3","303","1530","49","16","254","84","195","64","100","33","26","1406","10","38","16","62","9","35","2","8"
"ALAMO HEIGHTS ISD","015901","Spring 2025","5","324","1691","42","13","282","87","205","63","96","30","6","1468","4","67","2","33","1","17","0","0"
"ALAMO HEIGHTS ISD","015901","Spring 2025","8","409","1914","78","19","331","81","256","63","113","28","","","","","","","","","",""
"ALAMO HEIGHTS ISD","015901","Spring 2024","3","317","1521","43","14","274","86","205","65","77","24","18","1484","2","11","16","89","10","56","2","11"
"ALAMO HEIGHTS ISD","015901","Spring 2024","5","336","1719","36","11","300","89","242","72","117","35","12","1556","2","17","10","83","2","17","0","0"
"ALAMO HEIGHTS ISD","015901","Spring 2024","8","387","1881","74","19","313","81","200","52","80","21","","","","","","","","","",""
"ALAMO HEIGHTS ISD","015901","Spring 2023","3","308","1522","42","14","266","86","184","60","97","31","11","1370","6","55","5","45","2","18","0","0"
"ALAMO HEIGHTS ISD","015901","Spring 2023","5","332","1738","23","7","309","93","243","73","141","42","10","1631","1","10","9","90","5","50","0","0"
"ALAMO HEIGHTS ISD","015901","Spring 2023","8","373","1912","33","9","340","91","259","69","81","22","","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2025","3","63","1434","17","27","46","73","21","33","10","16","0","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2025","5","47","1629","12","26","35","74","20","43","8","17","0","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2025","8","46","1750","25","54","21","46","7","15","0","0","","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2024","3","59","1452","15","25","44","75","22","37","8","14","0","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2024","5","61","1592","16","26","45","74","19","31","5","8","0","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2024","8","50","1809","13","26","37","74","12","24","1","2","","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2023","3","54","1452","13","24","41","76","24","44","9","17","0","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2023","5","60","1604","11","18","49","82","21","35","7","12","0","","","","","","","","",""
"ALBA-GOLDEN ISD","250906","Spring 2023","8","49","1815","13","27","36","73","17","35","3","6","","","","","","","","","",""
"ALBANY ISD","209901","Spring 2025","3","28","1467","5","18","23","82","12","43","5","18","0","","","","","","","","",""
"ALBANY ISD","209901","Spring 2025","5","29","1595","9","31","20","69","10","34","3","10","0","","","","","","","","",""
"ALBANY ISD","209901","Spring 2025","8","35","1757","19","54","16","46","6","17","0","0","","","","","","","","","",""
"ALBANY ISD","209901","Spring 2024","3","27","1451","5","19","22","81","9","33","2","7","0","","","","","","","","",""
"ALBANY ISD","209901","Spring 2024","5","34","1634","12","35","22","65","21","62","6","18","0","","","","","","","","",""
"ALBANY ISD","209901","Spring 2024","8","31","1810","12","39","19","61","9","29","1","3","","","","","","","","","",""
"ALBANY ISD","209901","Spring 2023","3","32","1447","4","13","28","88","12","38","3","9","0","","","","","","","","",""
"ALBANY ISD","209901","Spring 2023","5","31","1699","4","13","27","87","25","81","9","29","1","","","","","","","","",""
"ALBANY ISD","209901","Spring 2023","8","38","1775","18","47","20","53","7","18","2","5","","","","","","","","","",""
"ALDINE ISD","101902","Spring 2025","3","3090","1412","1187","38","1903","62","1004","32","310","10","911","1392","393","43","518","57","254","28","53","6"
"ALDINE ISD","101902","Spring 2025","5","3414","1591","1254","37","2160","63","1200","35","464","14","378","1507","222","59","156","41","59","16","13","3"
"ALDINE ISD","101902","Spring 2025","8","3822","1791","1858","49","1964","51","1035","27","302","8","","","","","","","","","",""
"ALDINE ISD","101902","Spring 2024","3","3261","1403","1400","43","1861","57","922","28","251","8","914","1372","486","53","428","47","190","21","26","3"
"ALDINE ISD","101902","Spring 2024","5","3765","1585","1310","35","2455","65","1338","36","397","11","366","1510","219","60","147","40","51","14","9","2"
"ALDINE ISD","101902","Spring 2024","8","3955","1792","1846","47","2109","53","953","24","245","6","","","","","","","","","",""
"ALDINE ISD","101902","Spring 2023","3","3542","1409","1362","38","2180","62","1075","30","340","10","501","1349","295","59","206","41","54","11","5","1"
"ALDINE ISD","101902","Spring 2023","5","3947","1577","1425","36","2522","64","1254","32","386","10","252","1500","157","62","95","38","24","10","3","1"
"ALDINE ISD","101902","Spring 2023","8","4444","1779","2048","46","2396","54","942","21","215","5","","","","","","","","","",""
"ALEDO ISD","184907","Spring 2025","3","691","1561","68","10","623","90","503","73","267","39","0","","","","","","","","",""
"ALEDO ISD","184907","Spring 2025","5","635","1746","61","10","574","90","455","72","278","44","0","","","","","","","","",""
"ALEDO ISD","184907","Spring 2025","8","645","1976","59","9","586","91","476","74","280","43","","","","","","","","","",""
"ALEDO ISD","184907","Spring 2024","3","623","1532","68","11","555","89","417","67","180","29","1","","","","","","","","",""
"ALEDO ISD","184907","Spring 2024","5","604","1727","60","10","544","90","428","71","230","38","0","","","","","","","","",""
"ALEDO ISD","184907","Spring 2024","8","624","1932","68","11","556","89","408","65","182","29","","","","","","","","","",""
"ALEDO ISD","184907","Spring 2023","3","606","1530","75","12","531","88","383","63","212","35","0","","","","","","","","",""
"ALEDO ISD","184907","Spring 2023","5","606","1719","40","7","566","93","429","71","233","38","1","","","","","","","","",""
"ALEDO ISD","184907","Spring 2023","8","636","1934","55","9","581","91","446","70","209","33","","","","","","","","","",""
"ALICE ISD","125901","Spring 2025","3","311","1459","91","29","220","71","147","47","56","18","1","","","","","","","","",""
"ALICE ISD","125901","Spring 2025","5","325","1674","76","23","249","77","178","55","94","29","1","","","","","","","","",""
"ALICE ISD","125901","Spring 2025","8","282","1828","97","34","185","66","103","37","25","9","","","","","","","","","",""
"ALICE ISD","125901","Spring 2024","3","320","1431","104","33","216","68","121","38","33","10","0","","","","","","","","",""
"ALICE ISD","125901","Spring 2024","5","331","1617","86","26","245","74","154","47","47","14","2","","","","","","","","",""
"ALICE ISD","125901","Spring 2024","8","279","1805","102","37","177","63","87","31","9","3","","","","","","","","","",""
"ALICE ISD","125901","Spring 2023","3","340","1421","125","37","215","63","119","35","32","9","0","","","","","","","","",""
"ALICE ISD","125901","Spring 2023","5","315","1559","133","42","182","58","83","26","19","6","0","","","","","","","","",""
"ALICE ISD","125901","Spring 2023","8","314","1774","128","41","186","59","65","21","3","1","","","","","","","","","",""
"ALIEF ISD","101903","Spring 2025","3","2884","1392","1326","46","1558","54","778","27","263","9","53","1365","27","51","26","49","12","23","0","0"
"ALIEF ISD","101903","Spring 2025","5","2633","1550","1332","51","1301","49","642","24","259","10","63","1480","46","73","17","27","8","13","3","5"
"ALIEF ISD","101903","Spring 2025","8","2688","1812","1169","43","1519","57","892","33","283","11","","","","","","","","","",""
"ALIEF ISD","101903","Spring 2024","3","2897","1405","1263","44","1634","56","804","28","233","8","61","1323","45","74","16","26","4","7","0","0"
"ALIEF ISD","101903","Spring 2024","5","2718","1555","1274","47","1444","53","719","26","219","8","25","1424","23","92","2","8","1","4","0","0"
"ALIEF ISD","101903","Spring 2024","8","2775","1828","988","36","1787","64","981","35","301","11","","","","","","","","","",""
"ALIEF ISD","101903","Spring 2023","3","2934","1411","1189","41","1745","59","841","29","343","12","9","1313","7","78","2","22","0","0","0","0"
"ALIEF ISD","101903","Spring 2023","5","2681","1587","979","37","1702","63","881","33","350","13","5","1143","4","80","1","20","0","0","0","0"
"ALIEF ISD","101903","Spring 2023","8","2592","1817","862","33","1730","67","836","32","241","9","","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2025","3","39","1430","15","38","24","62","14","36","2","5","0","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2025","5","26","1665","3","12","23","88","14","54","7","27","0","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2025","8","4","","","","","","","","","","","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2024","3","33","1448","6","18","27","82","10","30","3","9","0","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2024","5","21","1670","3","14","18","86","12","57","5","24","0","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2024","8","3","","","","","","","","","","","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2023","3","33","1428","8","24","25","76","13","39","4","12","0","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2023","5","21","1666","1","5","20","95","11","52","5","24","0","","","","","","","","",""
"ALIEF MONTESSORI COMMUNITY SCHOOL","101815","Spring 2023","8","4","","","","","","","","","","","","","","","","","","",""
"ALLEN ISD","043901","Spring 2025","3","1463","1545","248","17","1215","83","968","66","524","36","24","1430","7","29","17","71","9","38","3","13"
"ALLEN ISD","043901","Spring 2025","5","1546","1751","184","12","1362","88","1070","69","676","44","6","1478","4","67","2","33","0","0","0","0"
"ALLEN ISD","043901","Spring 2025","8","931","1882","164","18","767","82","518","56","162","17","","","","","","","","","",""
"ALLEN ISD","043901","Spring 2024","3","1496","1544","236","16","1260","84","954","64","522","35","23","1426","7","30","16","70","8","35","0","0"
"ALLEN ISD","043901","Spring 2024","5","1595","1754","186","12","1409","88","1132","71","685","43","11","1526","3","27","8","73","2","18","0","0"
"ALLEN ISD","043901","Spring 2024","8","928","1875","166","18","762","82","492","53","137","15","","","","","","","","","",""
"ALLEN ISD","043901","Spring 2023","3","1559","1544","206","13","1353","87","1037","67","580","37","11","1374","3","27","8","73","0","0","0","0"
"ALLEN ISD","043901","Spring 2023","5","1641","1756","126","8","1515","92","1224","75","736","45","16","1552","8","50","8","50","4","25","2","13"
"ALLEN ISD","043901","Spring 2023","8","977","1893","135","14","842","86","587","60","184","19","","","","","","","","","",""
"ALPINE ISD","022901","Spring 2025","3","65","1435","28","43","37","57","27","42","10","15","1","","","","","","","","",""
"ALPINE ISD","022901","Spring 2025","5","63","1565","21","33","42","67","17","27","3","5","1","","","","","","","","",""
"ALPINE ISD","022901","Spring 2025","8","54","1930","6","11","48","89","36","67","16","30","","","","","","","","","",""
"ALPINE ISD","022901","Spring 2024","3","51","1400","23","45","28","55","13","25","4","8","1","","","","","","","","",""
"ALPINE ISD","022901","Spring 2024","5","48","1498","32","67","16","33","9","19","2","4","1","","","","","","","","",""
"ALPINE ISD","022901","Spring 2024","8","64","1913","6","9","58","91","42","66","16","25","","","","","","","","","",""
"ALPINE ISD","022901","Spring 2023","3","56","1404","24","43","32","57","16","29","3","5","0","","","","","","","","",""
"ALPINE ISD","022901","Spring 2023","5","62","1537","32","52","30","48","10","16","4","6","0","","","","","","","","",""
"ALPINE ISD","022901","Spring 2023","8","69","1907","5","7","64","93","38","55","18","26","","","","","","","","","",""
